ci,first_name,last_name,email,gender,av_grade,curr_year,section
31908771,Urban,Dedon,udedon1x@netscape.com,M,8.28,3,C
29116520,Anna-maria,Menhci,amenhci1y@blogs.com,F,17.71,4,C
39892909,Edvard,Slucock,eslucock1z@clickbank.net,M,10.22,3,C
30787052,Nelson,Wager,nwager20@quantcast.com,M,13.74,11,A
38773136,Selina,Larmour,slarmour21@desdev.cn,F,15.99,1,B
26354998,Brandise,Barszczewski,bbarszczewski22@bigcartel.com,F,11.66,11,A
25353064,Skylar,Tacker,stacker23@naver.com,M,16.99,9,B
34528788,Beverie,Holme,bholme24@biblegateway.com,F,10.61,8,A
28542002,Estrella,Addison,eaddison25@constantcontact.com,F,13.37,11,B
36244062,Evangelina,McCluskey,emccluskey26@friendfeed.com,F,9.32,10,B
31107901,Demetris,McCaughran,dmccaughran27@hugedomains.com,F,12.95,7,B
35345336,Skipper,Self,sself28@ucoz.ru,M,12.51,3,A
39180697,Sergeant,Friedman,sfriedman29@weather.com,M,6.5,10,A
38827898,Daisey,MacCall,dmaccall2a@last.fm,F,7.58,3,C
37215584,Valli,Hans,vhans2b@timesonline.co.uk,F,12.89,4,A
26544251,Ernestus,Farmloe,efarmloe2c@epa.gov,M,13.3,9,B
28850548,Gwendolin,Feldbaum,gfeldbaum2d@irs.gov,F,5.43,10,B
35590742,Nels,Dodge,ndodge2e@dailymail.co.uk,M,14.21,3,B
36558855,Johan,Snashall,jsnashall2f@bbc.co.uk,M,10.78,4,C
36427308,Adams,Cool,acool2g@google.com,M,13.58,11,A
25460849,Willy,Riddell,wriddell2h@japanpost.jp,F,14.39,4,C
39381455,Madelene,Deighton,mdeighton2i@indiegogo.com,F,9.5,7,A
34707944,Randa,Kornyshev,rkornyshev2j@harvard.edu,F,11.21,4,A
35753421,Allene,Musicka,amusicka2k@youtube.com,F,10.22,9,C
35205981,Danella,Ferri,dferri2l@tinypic.com,F,19.78,7,B
30015357,Mortie,Mylchreest,mmylchreest2m@51.la,M,16.18,5,A
32828997,Cathie,MacCostye,cmaccostye2n@fotki.com,F,8.16,2,A
38738688,Antony,Ruger,aruger2o@seesaa.net,M,16.52,9,A
36247453,Joly,Brechin,jbrechin2p@alibaba.com,F,17.36,11,C
39007266,Tootsie,Bolle,tbolle2q@newyorker.com,F,17.62,9,C
39307226,Whit,Skace,wskace2r@dailymail.co.uk,M,10.23,2,B
